model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7256574271499645,0.4901315789473684,0.7967914438502673,0.6069246435845214,0.8351344145860403
Random Forest,0.7505330490405118,0.5207207207207207,0.7727272727272727,0.6221743810548978,0.8315624498501327
Decision Tree,0.736318407960199,0.5025380710659898,0.7941176470588235,0.6155440414507772,0.8277420006108578
